Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Journal Article,84,David,,Bloom,Felicia Goodrum; Anice C Lowen; Seema Lakdawala; James Alwine; Arturo Casadevall; Michael J Imperiale; Walter Atwood; Daphne Avgousti; Joel Baines; Bruce Banfield; Lawrence Banks; Sumita Bhaduri-McIntosh; Deepta Bhattacharya; Daniel Blanco-Melo; David Bloom; Adrianus Boon; Steeve Boulant; Curtis Brandt; Andrew Broadbent; Christopher Brooke; Craig Cameron; Samuel Campos; Patrizia Caposio; Gary Chan; Anna Cliffe; John Coffin; Kathleen Collins; Blossom Damania; Matthew Daugherty; Kari Debbink; James DeCaprio; Terence Dermody;  Jimmy Dikeakos; Daniel DiMaio; Rhoel Dinglasan; W Paul Duprex; Rebecca Dutch; Nels Elde; Michael Emerman; Lynn Enquist; Bentley Fane; Ana Fernandez-Sesma; Michelle Flenniken; Lori Frappier; Matthew Frieman; Klaus Frueh; Michaela Gack; Marta Gaglia; Tom Gallagher; Denise Galloway; Adolfo García-Sastre; Adam Geballe; Britt Glaunsinger; Stephen Goff; Alexander Greninger; Meaghan Hancock; Eva Harris Nicholas Heaton; Mark Heise; Ekaterina Heldwein; Brenda Hogue; Stacy Horner; Edward Hutchinson; Joseph Hyser; William Jackson; Robert Kalejta; Jeremy Kamil; Stephanie Karst; Frank Kirchhoff; David Knipe; Timothy Kowalik; Michael Lagunoff; Laimonis Laimins; Ryan Langlois; Adam Lauring; Benhur Lee; David Leib; Shan-Lu Liu; Richard Longnecker; Carolina Lopez; Micah Luftig; Jennifer Lund; Balaji Manicassamy; Grant McFadden; Michael McIntosh; Andrew Mehle; W Allen Miller; Ian Mohr; Cary Moody; Nathaniel Moorman; Anne Moscona; Bryan Mounce; Joshua Munger; Karl Münger; Eain Murphy; Mojgan Naghavi; Jay Nelson; Christopher Neufeldt; Janko Nikolich; Christine O'Connor; Akira Ono; Walter Orenstein; David Ornelles; Jing-Hsiung Ou; John ParkeR; Colin Parrish; Andrew Pekosz; Philip Pellett; Julie Pfeiffer; Richard Plemper; Stephen Polyak; John Purdy; Dohun Pyeon; Miguel Quinones-Mateu; Rolf Renne; Charles Rice; John Schoggins; Richard Roller; Charles Russell; Rozanne Sandri-Goldin; Martin Sapp; Luis Schang; Scott Schmid; Stacey Schultz-Cherry; Bert Semler; Thomas Shenk; Guido Silvestri; Viviana Simon; Gregory Smith; Jason Smith; Katherine Spindler; Megan Stanifer; Kanta Subbarao; Wesley Sundquist; Mehul Suthar; Troy Sutton; Andrew Tai; Vera Tarakanova; Benjamin tenOever; Scott Tibbetts; Stephen Tompkins; Zsolt Toth; Koenraad van Doorslaer; Marco Vignuzzi;  Nicholas Wallace; Derek Walsh;  Michael Weekes; Jason Weinberg; Matthew Weitzman; Sandra Weller; Sean Whelan; Elizabeth White; Bryan Williams; Christiane Wobus; Scott Wong; Andrew Yurochko,Virology under the Microscope-a Call for Rational Discourse,Journal of Virology,,97.0,2,,Febuary,,,2023,https://pubmed.ncbi.nlm.nih.gov/36700640/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,,Yes,"Goodrum Felicia, Anice C Lowen, Seema Lakdawala, James Alwine, Arturo Casadevall, Michael J Imperiale, Walter Atwood, Daphne Avgousti, Joel Baines, Bruce Banfield, Lawrence Banks, Sumita Bhaduri-McIntosh, Deepta Bhattacharya, Daniel Blanco-Melo, David Bloom, Adrianus Boon, Steeve Boulant, Curtis Brandt, Andrew Broadbent, Christopher Brooke, Craig Cameron, Samuel Campos, Patrizia Caposio, Gary Chan, Anna Cliffe, John Coffin, Kathleen Collins, Blossom Damania, Matthew Daugherty, Kari Debbink, James DeCaprio, Terence Dermody, Jimmy Dikeakos, Daniel DiMaio, Rhoel Dinglasan, W Paul Duprex, Rebecca Dutch, Nels Elde, Michael Emerman, Lynn Enquist, Bentley Fane, Ana Fernandez-Sesma, Michelle Flenniken, Lori Frappier, Matthew Frieman, Klaus Frueh, Michaela Gack, Marta Gaglia, Tom Gallagher, Denise Galloway, Adolfo García-Sastre, Adam Geballe, Britt Glaunsinger, Stephen Goff, Alexander Greninger, Meaghan Hancock, Eva Harris Nicholas Heaton, Mark Heise, Ekaterina Heldwein, Brenda Hogue, Stacy Horner, Edward Hutchinson, Joseph Hyser, William Jackson, Robert Kalejta, Jeremy Kamil, Stephanie Karst, Frank Kirchhoff, David Knipe, Timothy Kowalik, Michael Lagunoff, Laimonis Laimins, Ryan Langlois, Adam Lauring, Benhur Lee, David Leib, Shan-Lu Liu, Richard Longnecker, Carolina Lopez, Micah Luftig, Jennifer Lund, Balaji Manicassamy, Grant McFadden, Michael McIntosh, Andrew Mehle, W Allen Miller, Ian Mohr, Cary Moody, Nathaniel Moorman, Anne Moscona, Bryan Mounce, Joshua Munger, Karl Münger, Eain Murphy, Mojgan Naghavi, Jay Nelson, Christopher Neufeldt, Janko Nikolich, Christine O'Connor, Akira Ono, Walter Orenstein, David Ornelles, Jing-Hsiung Ou, John ParkeR, Colin Parrish, Andrew Pekosz, Philip Pellett, Julie Pfeiffer, Richard Plemper, Stephen Polyak, John Purdy, Dohun Pyeon, Miguel Quinones-Mateu, Rolf Renne, Charles Rice, John Schoggins, Richard Roller, Charles Russell, Rozanne Sandri-Goldin, Martin Sapp, Luis Schang, Scott Schmid, Stacey Schultz-Cherry, Bert Semler, Thomas Shenk, Guido Silvestri, Viviana Simon, Gregory Smith, Jason Smith, Katherine Spindler, Megan Stanifer, Kanta Subbarao, Wesley Sundquist, Mehul Suthar, Troy Sutton, Andrew Tai, Vera Tarakanova, Benjamin tenOever, Scott Tibbetts, Stephen Tompkins, Zsolt Toth, Koenraad van Doorslaer, Marco Vignuzzi, Nicholas Wallace, Derek Walsh, Michael Weekes, Jason Weinberg, Matthew Weitzman, Sandra Weller, Sean Whelan, Elizabeth White, Bryan Williams, Christiane Wobus, Scott Wong and Andrew Yurochko","Goodrum Felicia, Anice C Lowen, Seema Lakdawala, James Alwine, Arturo Casadevall, Michael J Imperiale, Walter Atwood, Daphne Avgousti, Joel Baines, Bruce Banfield, Lawrence Banks, Sumita Bhaduri-McIntosh, Deepta Bhattacharya, Daniel Blanco-Melo, David Bloom, Adrianus Boon, Steeve Boulant, Curtis Brandt, Andrew Broadbent, Christopher Brooke, Craig Cameron, Samuel Campos, Patrizia Caposio, Gary Chan, Anna Cliffe, John Coffin, Kathleen Collins, Blossom Damania, Matthew Daugherty, Kari Debbink, James DeCaprio, Terence Dermody, Jimmy Dikeakos, Daniel DiMaio, Rhoel Dinglasan, W Paul Duprex, Rebecca Dutch, Nels Elde, Michael Emerman, Lynn Enquist, Bentley Fane, Ana Fernandez-Sesma, Michelle Flenniken, Lori Frappier, Matthew Frieman, Klaus Frueh, Michaela Gack, Marta Gaglia, Tom Gallagher, Denise Galloway, Adolfo García-Sastre, Adam Geballe, Britt Glaunsinger, Stephen Goff, Alexander Greninger, Meaghan Hancock, Eva Harris Nicholas Heaton, Mark Heise, Ekaterina Heldwein, Brenda Hogue, Stacy Horner, Edward Hutchinson, Joseph Hyser, William Jackson, Robert Kalejta, Jeremy Kamil, Stephanie Karst, Frank Kirchhoff, David Knipe, Timothy Kowalik, Michael Lagunoff, Laimonis Laimins, Ryan Langlois, Adam Lauring, Benhur Lee, David Leib, Shan-Lu Liu, Richard Longnecker, Carolina Lopez, Micah Luftig, Jennifer Lund, Balaji Manicassamy, Grant McFadden, Michael McIntosh, Andrew Mehle, W Allen Miller, Ian Mohr, Cary Moody, Nathaniel Moorman, Anne Moscona, Bryan Mounce, Joshua Munger, Karl Münger, Eain Murphy, Mojgan Naghavi, Jay Nelson, Christopher Neufeldt, Janko Nikolich, Christine O'Connor, Akira Ono, Walter Orenstein, David Ornelles, Jing-Hsiung Ou, John ParkeR, Colin Parrish, Andrew Pekosz, Philip Pellett, Julie Pfeiffer, Richard Plemper, Stephen Polyak, John Purdy, Dohun Pyeon, Miguel Quinones-Mateu, Rolf Renne, Charles Rice, John Schoggins, Richard Roller, Charles Russell, Rozanne Sandri-Goldin, Martin Sapp, Luis Schang, Scott Schmid, Stacey Schultz-Cherry, Bert Semler, Thomas Shenk, Guido Silvestri, Viviana Simon, Gregory Smith, Jason Smith, Katherine Spindler, Megan Stanifer, Kanta Subbarao, Wesley Sundquist, Mehul Suthar, Troy Sutton, Andrew Tai, Vera Tarakanova, Benjamin tenOever, Scott Tibbetts, Stephen Tompkins, Zsolt Toth, Koenraad van Doorslaer, Marco Vignuzzi, Nicholas Wallace, Derek Walsh, Michael Weekes, Jason Weinberg, Matthew Weitzman, Sandra Weller, Sean Whelan, Elizabeth White, Bryan Williams, Christiane Wobus, Scott Wong and Andrew Yurochko. 2023. Virology under the Microscope-a Call for Rational Discourse. Journal of Virology 97.0, no. 2 (Febuary): nan."
,Journal Article,92,Ricardo,,Hausman,Dario Diodato; Ricardo Hausmann; Frank Neffke , The impact of return migration on employment and wages in Mexican cities,Journal of Urban Economics ,,135.0,,,May,,,2023,"https://www.sciencedirect.com/science/article/pii/S0094119023000268#:~:text=We%20argue%20that%2C%20if%20returnees%20carry%20industry-specific%20human,workers%20to%20move%20between%20industries%20or%20between%20cities.",,,,,,,,,,,,Summer - Maceo,,abstract author,05/01/2023,Yes,"Diodato Dario, Ricardo Hausmann and Frank Neffke","Diodato Dario, Ricardo Hausmann and Frank Neffke. 2023.  The impact of return migration on employment and wages in Mexican cities. Journal of Urban Economics  135.0, no. nan (May): nan."
,Journal Article,46,Gordon,,Hanson,Kathryn Baragwanath; Ran Goldblatt; Gordon Hanson; Amit K. Khandelwal,Detecting Urban Markets with Satellite Imagery: An Application to India,Journal of Urban Economics,No,125.0,,,September,,,2021,https://www.sciencedirect.com/science/article/abs/pii/S0094119019300427,No issue number or page number.,,,,,,,,,,,Summer - Kiki,,abstract author,09/01/2021,Yes,"Baragwanath Kathryn, Ran Goldblatt, Gordon Hanson and Amit K. Khandelwal","Baragwanath Kathryn, Ran Goldblatt, Gordon Hanson and Amit K. Khandelwal. 2021. Detecting Urban Markets with Satellite Imagery: An Application to India. Journal of Urban Economics 125.0, no. nan (September): nan."
,Journal Article,91,Ed,,Glaeser,Jiafeng Chen; Edward Glaeser; David Wessel,JUE Insight: The (non-) effect of opportunity zones on housing prices,Journal of Urban Economics,,,,,April,103451,,2022,https://www.sciencedirect.com/science/article/pii/S0094119022000286,,,,,,,,,,,,Summer - Maceo,,abstract author,04/01/2022,Yes,"Chen Jiafeng, Edward Glaeser and David Wessel","Chen Jiafeng, Edward Glaeser and David Wessel. 2022. JUE Insight: The (non-) effect of opportunity zones on housing prices. Journal of Urban Economics nan, no. nan (April): nan."
,Journal Article,91,Ed,,Glaeser,Edward L. Glaeser; Caitlin Gorback; Stephen J. Redding,"JUE Insight: How much does COVID-19 increase with mobility? Evidence from New York and 
Four other US Cities",Journal of Urban Economics,,,,,October,103292,,2020,https://www.sciencedirect.com/science/article/pii/S0094119020300632,,,,,,,,,,,,Summer - Maceo,,abstract author,10/01/2020,Yes,"Glaeser Edward L., Caitlin Gorback and Stephen J. Redding","Glaeser Edward L., Caitlin Gorback and Stephen J. Redding. 2020. JUE Insight: How much does COVID-19 increase with mobility? Evidence from New York and 
Four other US Cities. Journal of Urban Economics nan, no. nan (October): nan."
,Journal Article,97,Jennifer,,Leaning,Elizabeth A Newnham; Xue Gao; Bhushan Guragain; Feng Jiao; Elizabeth Nathan; Mark Boyes; Jennifer Leaning,Daily stressors and mental health following disaster: A school-based assessment of adolescent disaster survivors in China and Nepa,Journal of Trumatic Stress,,35.0,6,1721-1733,December,,,2022,https://pubmed.ncbi.nlm.nih.gov/36067255/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,12/01/2022,Yes,"Newnham Elizabeth A, Xue Gao, Bhushan Guragain, Feng Jiao, Elizabeth Nathan, Mark Boyes and Jennifer Leaning","Newnham Elizabeth A, Xue Gao, Bhushan Guragain, Feng Jiao, Elizabeth Nathan, Mark Boyes and Jennifer Leaning. 2022. Daily stressors and mental health following disaster: A school-based assessment of adolescent disaster survivors in China and Nepa. Journal of Trumatic Stress 35.0, no. 6 (December): 1721-1733."
,Journal Article,60,Phuong,,Pham,Timothy B. Erickson; Julia Brooks; Eric J. Nilles; Phuong N. Pham; Patrick Vinck,"Environmental health effects attributed to toxic and infectious agents following hurricanes, cyclones, flash floods and major hydrometeorological events","Journal of Toxicology and Environmental Health, Part B",No,22.0,5-6,157-171,August,,,2019,https://www.tandfonline.com/doi/abs/10.1080/10937404.2019.1654422?journalCode=uteb20,,,,,,,,,,,,Summer - Kiki,,hlFld-Abstract,08/01/2019,Yes,"Erickson Timothy B., Julia Brooks, Eric J. Nilles, Phuong N. Pham and Patrick Vinck","Erickson Timothy B., Julia Brooks, Eric J. Nilles, Phuong N. Pham and Patrick Vinck. 2019. Environmental health effects attributed to toxic and infectious agents following hurricanes, cyclones, flash floods and major hydrometeorological events. Journal of Toxicology and Environmental Health, Part B 22.0, no. 5-6 (August): 157-171."
,Journal Article,77,Luke,,Miratrix,Peng Ding; Avi Feller; Luke Miratrix,Randomization Inference for Treatment Effect Variation,"Journal of the Royal Statistical Society, Series B",,78.0,3,665-671,,,,2015,https://arxiv.org/abs/1412.5000,,,,,,,,,,,,Summer - Maceo,,,01/01/2015,Yes,"Ding Peng, Avi Feller and Luke Miratrix","Ding Peng, Avi Feller and Luke Miratrix. 2015. Randomization Inference for Treatment Effect Variation. Journal of the Royal Statistical Society, Series B 78.0, no. 3 (nan): 665-671."
,Journal Article,77,Luke,,Miratrix,Luke W. Miratrix; Jasjeet S. Sekhon; Bin Yu,Adjusting Treatment Effect Estimates by Poststratification in Randomized Experiments,"Journal of the Royal Statistical Society, Series B",,75.0,2,369-396,,,,2013,https://academic.oup.com/jrsssb/article/75/2/369/7075411,,,,,,,,,,,,Summer - Maceo,,chapter-para,01/01/2013,Yes,"Miratrix Luke W., Jasjeet S. Sekhon and Bin Yu","Miratrix Luke W., Jasjeet S. Sekhon and Bin Yu. 2013. Adjusting Treatment Effect Estimates by Poststratification in Randomized Experiments. Journal of the Royal Statistical Society, Series B 75.0, no. 2 (nan): 369-396."
,Journal Article,1,Raffaella,,Sadun,Nicholas Bloom; Renata Lemos; Raffaella Sadun; Daniela Scur; John Van Reenen ,The New Empirical Economics of Management,Journal of the European Economic Association,No,12.0,4,835-876,August,,,2014,https://www.hbs.edu/ris/Publication%20Files/EmpiricalEconomics_61b82164-a7ed-46fc-8ad9-b53331a9d55a.pdf,,,,,,,,,,,,Summer - Kiki,,pdf,08/01/2014,Yes,"Bloom Nicholas, Renata Lemos, Raffaella Sadun, Daniela Scur and John Van Reenen","Bloom Nicholas, Renata Lemos, Raffaella Sadun, Daniela Scur and John Van Reenen. 2014. The New Empirical Economics of Management. Journal of the European Economic Association 12.0, no. 4 (August): 835-876."
,Journal Article,51,Laura,,Alfaro,Laura Alfaro; Nick Bloom; Paola Conconi; Harald Fadinger; Patrick Legros; Andrew F Newman; Raffaella Sadun; John Van Reenen,Come Together: Firm Boundaries and Delegation,Journal of the European Economic Association,No,,,,May,,,2023,https://academic.oup.com/jeea/advance-article-abstract/doi/10.1093/jeea/jvad027/7160457,"No volume, issue, or page numbers.",,,,,,,,,,,Summer - Kiki,,chapter-para,05/01/2023,Yes,"Alfaro Laura, Nick Bloom, Paola Conconi, Harald Fadinger, Patrick Legros, Andrew F Newman, Raffaella Sadun and John Van Reenen","Alfaro Laura, Nick Bloom, Paola Conconi, Harald Fadinger, Patrick Legros, Andrew F Newman, Raffaella Sadun and John Van Reenen. 2023. Come Together: Firm Boundaries and Delegation. Journal of the European Economic Association nan, no. nan (May): nan."
,Journal Article,51,Laura,,Alfaro,Laura Alfaro; Alejandro Cuñat; Harald Fadinger; Yanping Liu,"The Real Exchange Rate, Innovation, and Productivity",Journal of the European Economic Association,No,21.0,2,637-689,April,,,2023,https://academic.oup.com/jeea/article-abstract/21/2/637/6763597,,,,,,,,,,,,Summer - Kiki,,chapter-para,04/01/2023,Yes,"Alfaro Laura, Alejandro Cuñat, Harald Fadinger and Yanping Liu","Alfaro Laura, Alejandro Cuñat, Harald Fadinger and Yanping Liu. 2023. The Real Exchange Rate, Innovation, and Productivity. Journal of the European Economic Association 21.0, no. 2 (April): 637-689."
,Journal Article,67,Joshua,R.,Schwartzstein,Joshua Schwartzstein,Selective Attention and Learning,Journal of the European Economic Association,,12.0,6,1423-1452,December,,,2014,https://www.jstor.org/stable/24538889?seq=1#metadata_info_tab_contents,,,,,,,,,,,,Summer - Maceo,,,12/01/2014,Yes,Schwartzstein Joshua,"Schwartzstein Joshua. 2014. Selective Attention and Learning. Journal of the European Economic Association 12.0, no. 6 (December): 1423-1452."
,Journal Article,74,Marc,,Melitz,Tommaso Bighelli; Filippo di Mauro; Marc J Melitz; Matthias Mertens,European Firm Concentration and Aggregate Productivity,Journal of the European Economic Association,,21.0,2,455-483,July,,,2023,https://academic.oup.com/jeea/article/21/2/455/6649211,,,,,,,,,,,,Summer - Maceo,,chapter-para,07/01/2023,Yes,"Bighelli Tommaso, Filippo di Mauro, Marc J Melitz and Matthias Mertens","Bighelli Tommaso, Filippo di Mauro, Marc J Melitz and Matthias Mertens. 2023. European Firm Concentration and Aggregate Productivity. Journal of the European Economic Association 21.0, no. 2 (July): 455-483."
,Journal Article,80,Carmen,,Reinhart,Ṣebnem Kalemli-Özcan; Carmen Reinhart; Kenneth Rogoff,Sovereign Debt and Financial Crises: Theory and Historical Evidence,Journal of the European Economic Association,,14.0,1,1-6,Febuary,,,2016,https://academic.oup.com/jeea/article/14/1/1/2319808,,,,,,,,,,,,Summer - Maceo,,chapter-para,,Yes,"Kalemli-Özcan Ṣebnem, Carmen Reinhart and Kenneth Rogoff","Kalemli-Özcan Ṣebnem, Carmen Reinhart and Kenneth Rogoff. 2016. Sovereign Debt and Financial Crises: Theory and Historical Evidence. Journal of the European Economic Association 14.0, no. 1 (Febuary): 1-6."
,Journal Article,80,Carmen,,Reinhart,Carmen M. Reinhart; Christoph Trebesch,Sovereign Debt Relief and its Aftermath,Journal of the European Economic Association,,14.0,1,215-251,February,,,2016,https://onlinelibrary.wiley.com/doi/abs/10.1111/jeea.12166,,,,,,,,,,,,Summer - Maceo,,,02/01/2016,Yes,Reinhart Carmen M. and Christoph Trebesch,"Reinhart Carmen M. and Christoph Trebesch. 2016. Sovereign Debt Relief and its Aftermath. Journal of the European Economic Association 14.0, no. 1 (February): 215-251."
,Journal Article,93,Elhanan,,Helpman,Elhanan Helpman; Benjamin Niswonger,Dynamics of Large Multinationals,Journal of the European Economic Association,Forthcoming,,,,,,,2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3960151,,,,,,,,,,,,Summer - Maceo,,abstract-text,01/01/2022,Yes,Helpman Elhanan and Benjamin Niswonger,"Helpman Elhanan and Benjamin Niswonger. 2022. Dynamics of Large Multinationals. Journal of the European Economic Association nan, no. nan (nan): nan."
,Journal Article,120,Eliana,La,Ferrera,Fernanda Brollo; Katja Kaufmann; Eliana La Ferrara,The Political Economy of Program Enforcement: Evidence from Brazil,Journal of the European Economic Association,,18.0,2,750-791,,,,2020,https://academic.oup.com/jeea/article-abstract/18/2/750/5513413,,,,,,,,,,,,Summer - Maceo,,chapter-para,01/01/2020,No,"Brollo Fernanda, Katja Kaufmann and Eliana La Ferrara","Brollo Fernanda, Katja Kaufmann and Eliana La Ferrara. 2020. The Political Economy of Program Enforcement: Evidence from Brazil. Journal of the European Economic Association 18.0, no. 2 (nan): 750-791."
,Journal Article,120,Eliana,La,Ferrera,Eliana La Ferrara,"Aspirations, Social Norms and Development",Journal of the European Economic Association,,17.0,6,1687-1722,,,,2019,https://academic.oup.com/jeea/article/17/6/1687/5608602,,,,,,,,,,,,Summer - Maceo,,chapter-para,01/01/2019,No,Ferrara Eliana La,"Ferrara Eliana La. 2019. Aspirations, Social Norms and Development. Journal of the European Economic Association 17.0, no. 6 (nan): 1687-1722."
,Journal Article,95,Jane,,Kim,Enrico Carmina; Brigitte Dreno; W Anne Lucky; W George Agak; Anuja Dokras; Jin Ju Kim; Rogerio A Lobo; Fahimeh Ramezani Tehrani; Daniel Dumesic,Female Adult Acne and Androgen Excess: A Report From the Multidisciplinary Androgen Excess and PCOS Committee,Journal of the Endocrine Society,,6.0,3,,February,,,2022,https://pubmed.ncbi.nlm.nih.gov/35155970/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,02/01/2022,Yes,"Carmina Enrico, Brigitte Dreno, W Anne Lucky, W George Agak, Anuja Dokras, Jin Ju Kim, Rogerio A Lobo, Fahimeh Ramezani Tehrani and Daniel Dumesic","Carmina Enrico, Brigitte Dreno, W Anne Lucky, W George Agak, Anuja Dokras, Jin Ju Kim, Rogerio A Lobo, Fahimeh Ramezani Tehrani and Daniel Dumesic. 2022. Female Adult Acne and Androgen Excess: A Report From the Multidisciplinary Androgen Excess and PCOS Committee. Journal of the Endocrine Society 6.0, no. 3 (February): nan."
,Journal Article,77,Luke,,Miratrix,Peng Ding; Avi Feller; Luke Miratrix,Decomposing Treatment Effect Variation,Journal of the American Statistical Association,,114.0,524,304-317,,,,2019,https://www.tandfonline.com/doi/abs/10.1080/01621459.2017.1407322?journalCode=uasa20,,,,,,,,,,,,Summer - Maceo,,hlFld-Abstract,01/01/2019,Yes,"Ding Peng, Avi Feller and Luke Miratrix","Ding Peng, Avi Feller and Luke Miratrix. 2019. Decomposing Treatment Effect Variation. Journal of the American Statistical Association 114.0, no. 524 (nan): 304-317."
,Journal Article,115,Rebecca,,Weintraub,Prashant Yadav; Rebecca Lynn Weintraub; Andy Stergachis,When government agencies turn to unregulated drug sources: Implications for the drug supply chain and public health are grave,Journal of the American Pharmacists Association,,58.0,5,477-480,September,,,2018,https://pubmed.ncbi.nlm.nih.gov/30077566/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,09/01/2018,Yes,"Yadav Prashant, Rebecca Lynn Weintraub and Andy Stergachis","Yadav Prashant, Rebecca Lynn Weintraub and Andy Stergachis. 2018. When government agencies turn to unregulated drug sources: Implications for the drug supply chain and public health are grave. Journal of the American Pharmacists Association 58.0, no. 5 (September): 477-480."
